,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,bsmt_height,exterior_quality,exterior_condition,bsmt_condition,bsmt_exposure,bsmt_finished1,bsmt_finished2,BsmtFinishedShare,heating_quality,kitchen_quality,home_funct,fireplace_quality,fireplace_ttlscore,gar_qual,gar_cond,gar_perception,driveway,fence,full_baths,half_baths,average_quality,room_size,age,garage_perception,LogSalePrice
0,1,60,RL,65.0,8450,Pave,,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,Gable,VinylSd,VinylSd,BrkFace,196.0,PConc,706,0,150,856,Y,SBrkr,856,854,0,1710,2,1,3,1,8,2003.0,548,0,61,0,0,0,0,,0,2,2008,WD,Normal,208500,3,2,2,3,0,4,1,0.8247663551401869,4,2,7.0,0.0,0.0,3.0,2.0,6.0,3,0.0,3,1,0.7951366922635559,213.75,5,2.6666666666666665,12.247694320220994
1,2,20,RL,80.0,9600,Pave,,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,Gable,MetalSd,MetalSd,None,0.0,CBlock,978,0,284,1262,Y,SBrkr,1262,0,0,1262,2,0,3,1,6,1976.0,460,298,0,0,0,0,0,,0,5,2007,WD,Normal,181500,3,1,2,3,3,3,1,0.7749603803486529,4,1,7.0,2.0,2.0,3.0,2.0,6.0,3,0.0,2,1,-0.0025003945071863987,210.33333333333334,31,2.6666666666666665,12.109010932687042
2,3,60,RL,68.0,11250,Pave,,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,Gable,VinylSd,VinylSd,BrkFace,162.0,PConc,486,0,434,920,Y,SBrkr,920,866,0,1786,2,1,3,1,6,2001.0,608,0,42,0,0,0,0,,0,9,2008,WD,Normal,223500,3,2,2,3,1,4,1,0.5282608695652173,4,2,7.0,2.0,2.0,3.0,2.0,6.0,3,0.0,3,1,0.7951366922635559,297.6666666666667,7,2.6666666666666665,12.31716669303576
3,4,70,RL,60.0,9550,Pave,,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1970,Gable,Wd Sdng,Wd Shng,None,0.0,BrkTil,216,0,540,756,Y,SBrkr,961,756,0,1717,1,0,3,1,7,1998.0,642,0,35,272,0,0,0,,0,2,2006,WD,Abnorml,140000,2,1,2,4,0,3,1,0.2857142857142857,3,2,7.0,3.0,3.0,3.0,2.0,6.0,3,0.0,2,0,-0.018740682210554582,245.28571428571428,91,2.8333333333333335,11.84939770159144
4,5,60,RL,84.0,14260,Pave,,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,Gable,VinylSd,VinylSd,BrkFace,350.0,PConc,655,0,490,1145,Y,SBrkr,1145,1053,0,2198,2,1,4,1,9,2000.0,836,192,84,0,0,0,0,,0,12,2008,WD,Normal,250000,3,2,2,3,2,4,1,0.5720524017467249,4,2,7.0,2.0,2.0,3.0,2.0,6.0,3,0.0,3,1,0.9404964645277352,244.22222222222223,8,3.3333333333333335,12.429216196844383
5,6,50,RL,85.0,14115,Pave,,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1995,Gable,VinylSd,VinylSd,None,0.0,Wood,732,0,64,796,Y,SBrkr,796,566,0,1362,1,1,1,1,5,1993.0,480,40,30,0,320,0,0,,700,10,2009,WD,Normal,143000,3,1,2,3,0,4,1,0.9195979899497487,4,1,7.0,0.0,0.0,3.0,2.0,6.0,3,0.5,2,1,-0.14786016677136574,272.4,16,2.3333333333333335,11.870599909242044
6,7,20,RL,75.0,10084,Pave,,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,Gable,VinylSd,VinylSd,Stone,186.0,PConc,1369,0,317,1686,Y,SBrkr,1694,0,0,1694,2,0,3,1,7,2004.0,636,255,57,0,0,0,0,,0,8,2007,WD,Normal,307000,4,2,2,3,2,4,1,0.8119810201660735,4,2,7.0,3.0,3.0,3.0,2.0,6.0,3,0.0,3,0,1.1958680296394903,242.0,3,2.6666666666666665,12.634603026569334
7,8,60,RL,,10382,Pave,,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,Gable,HdBoard,HdBoard,Stone,240.0,CBlock,859,32,216,1107,Y,SBrkr,1107,983,0,2090,2,1,3,1,7,1973.0,484,235,204,228,0,0,0,,350,11,2009,WD,Normal,200000,3,1,2,3,1,3,2,0.8048780487804879,4,1,7.0,2.0,4.0,3.0,2.0,6.0,3,0.0,3,1,0.14285937775699292,298.57142857142856,36,2.6666666666666665,12.206072645530174
8,9,50,RM,51.0,6120,Pave,,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1950,Gable,BrkFace,Wd Shng,None,0.0,BrkTil,0,0,952,952,Y,FuseF,1022,752,0,1774,2,0,2,2,8,1931.0,468,90,0,205,0,0,0,,0,4,2008,WD,Abnorml,129900,2,1,2,3,0,1,1,0.0,3,1,5.5,2.0,4.0,2.0,2.0,4.0,3,0.0,2,0,-0.3209960554830248,221.75,77,2.1666666666666665,11.77452020265869
9,10,190,RL,50.0,7420,Pave,,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1950,Gable,MetalSd,MetalSd,None,0.0,BrkTil,851,0,140,991,Y,SBrkr,1077,0,0,1077,1,0,2,2,5,1939.0,205,0,4,0,0,0,0,,0,1,2008,WD,Normal,118000,2,1,2,3,0,4,1,0.858728557013118,4,1,7.0,2.0,4.0,3.5,2.0,7.0,3,0.0,2,0,-0.4032317318831211,215.4,69,2.0,11.678439903447801
10,11,20,RL,70.0,11200,Pave,,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,Hip,HdBoard,HdBoard,None,0.0,CBlock,906,0,134,1040,Y,SBrkr,1040,0,0,1040,1,0,3,1,5,1965.0,384,0,0,0,0,0,0,,0,2,2008,WD,Normal,129500,2,1,2,3,0,2,1,0.8711538461538462,4,1,7.0,0.0,0.0,3.0,2.0,6.0,3,0.0,2,0,-0.4032317318831211,208.0,43,1.5,11.771436160121729
11,12,60,RL,85.0,11924,Pave,,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2006,Hip,WdShing,Wd Shng,Stone,286.0,PConc,998,0,177,1175,Y,SBrkr,1182,1142,0,2324,3,0,4,1,11,2005.0,736,147,21,0,0,0,0,,0,7,2006,New,Partial,345000,4,3,2,3,0,4,1,0.8493617021276596,4,3,7.0,3.0,6.0,3.0,2.0,6.0,3,0.0,4,0,1.9935051164102329,211.27272727272728,1,3.8333333333333335,12.751299696013497
12,13,20,RL,,12968,Pave,,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,Hip,HdBoard,Plywood,None,0.0,CBlock,737,0,175,912,Y,SBrkr,912,0,0,912,1,0,2,1,4,1962.0,352,140,0,0,0,176,0,,0,9,2008,WD,Normal,144000,2,1,2,3,0,3,1,0.8081140350877193,2,1,7.0,0.0,0.0,3.0,2.0,6.0,3,0.0,2,0,-0.8201994681396458,228.0,46,1.5,11.877568578558138
13,14,20,RL,91.0,10652,Pave,,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,Gable,VinylSd,VinylSd,Stone,306.0,PConc,0,0,1494,1494,Y,SBrkr,1494,0,0,1494,2,0,3,1,7,2006.0,840,160,33,0,0,0,0,,0,8,2007,New,Partial,279500,3,2,2,3,2,1,1,0.0,4,2,7.0,3.0,3.0,3.0,2.0,6.0,3,0.0,2,0,0.7951366922635559,213.42857142857142,1,3.3333333333333335,12.540757571577291
14,15,20,RL,,10920,Pave,,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,Hip,MetalSd,MetalSd,BrkFace,212.0,CBlock,733,0,520,1253,Y,SBrkr,1253,0,0,1253,1,1,2,1,5,1960.0,352,0,213,176,0,0,0,,0,5,2008,WD,Normal,157000,2,1,2,3,0,2,1,0.5849960095770151,2,1,7.0,1.0,1.0,3.0,2.0,6.0,3,1.5,2,1,-0.6748396958754664,250.6,48,2.0,11.964001084330445
15,16,45,RM,51.0,6120,Pave,,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,2001,Gable,Wd Sdng,Wd Sdng,None,0.0,BrkTil,0,0,832,832,Y,FuseA,854,0,0,854,1,0,2,1,5,1991.0,576,48,112,0,0,0,0,,0,7,2007,WD,Normal,132000,2,1,2,3,0,1,1,0.0,4,1,7.0,0.0,0.0,3.0,2.0,6.0,3,1.5,1,0,-0.11251218735476247,170.8,78,2.1666666666666665,11.790557201568507
