Id,MSZoning,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,Foundation,CentralAir,Electrical,SaleType,SaleCondition,PoolQC,LogSalePrice,SalePrice,test,MasVnrArea,OverallQual,OverallCond,YearRemodAdd,MSSubClass,LotFrontage,LotArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,bsmt_height,exterior_quality,exterior_condition,bsmt_condition,bsmt_exposure,bsmt_finished1,bsmt_finished2,BsmtFinishedShare,heating_quality,kitchen_quality,home_funct,fireplace_quality,fireplace_ttlscore,gar_qual,gar_cond,gar_perception,driveway,fence,full_baths,half_baths,average_quality,room_size,age,garage_perception
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.24769432,208500,0,196,7,5,2003,60,65,8450,706,0,150,856,856,854,0,1710,2,1,3,1,8,2003,548,0,61,0,0,0,0,0,2,2008,3,2,2,3,0,4,1,0.824766355,4,2,7,0,0,3,2,6,3,0,3,1,0.795136692,213.75,5,2.666666667
2,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,12.10901093,181499.9995,0,0,6,8,1976,20,80,9600,978,0,284,1262,1262,0,0,1262,2,0,3,1,6,1976,460,298,0,0,0,0,0,0,5,2007,3,1,2,3,3,3,1,0.77496038,4,1,7,2,2,3,2,6,3,0,2,1,-0.002500395,210.3333333,31,2.666666667
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31716669,223499.9993,0,162,7,5,2002,60,68,11250,486,0,434,920,920,866,0,1786,2,1,3,1,6,2001,608,0,42,0,0,0,0,0,9,2008,3,2,2,3,1,4,1,0.52826087,4,2,7,2,2,3,2,6,3,0,3,1,0.795136692,297.6666667,7,2.666666667
4,0,0,0,1,0,2,0,2,0,0,0,0,0,2,2,1,2,0,0,0,1,0,11.8493977,139999.9998,0,0,7,5,1970,70,60,9550,216,0,540,756,961,756,0,1717,1,0,3,1,7,1998,642,0,35,272,0,0,0,0,2,2006,2,1,2,4,0,3,1,0.285714286,3,2,7,3,3,3,2,6,3,0,2,0,-0.018740682,245.2857143,91,2.833333333
5,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4292162,250000.0008,0,350,8,5,2000,60,84,14260,655,0,490,1145,1145,1053,0,2198,2,1,4,1,9,2000,836,192,84,0,0,0,0,0,12,2008,3,2,2,3,2,4,1,0.572052402,4,2,7,2,2,3,2,6,3,0,3,1,0.940496465,244.2222222,8,3.333333333
6,0,0,0,1,0,0,0,4,0,0,0,2,0,0,0,1,3,0,0,0,0,0,11.87059991,143000.0001,0,0,5,5,1995,50,85,14115,732,0,64,796,796,566,0,1362,1,1,1,1,5,1993,480,40,30,0,320,0,0,700,10,2009,3,1,2,3,0,4,1,0.91959799,4,1,7,0,0,3,2,6,3,0.5,2,1,-0.147860167,272.4,16,2.333333333
7,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,12.63460303,307000.0011,0,186,8,5,2005,20,75,10084,1369,0,317,1686,1694,0,0,1694,2,0,3,1,7,2004,636,255,57,0,0,0,0,0,8,2007,4,2,2,3,2,4,1,0.81198102,4,2,7,3,3,3,2,6,3,0,3,0,1.19586803,242,3,2.666666667
8,0,0,0,1,0,2,0,6,2,0,0,0,0,3,3,2,1,0,0,0,0,0,12.20607265,200000.0009,0,240,7,6,1973,60,69.79,10382,859,32,216,1107,1107,983,0,2090,2,1,3,1,7,1973,484,235,204,228,0,0,0,350,11,2009,3,1,2,3,1,3,2,0.804878049,4,1,7,2,4,3,2,6,3,0,3,1,0.142859378,298.5714286,36,2.666666667
9,1,0,0,0,0,0,0,7,3,0,0,2,0,4,2,1,2,0,1,0,1,0,11.7745202,129899.9997,0,0,7,5,1950,50,51,6120,0,0,952,952,1022,752,0,1774,2,0,2,2,8,1931,468,90,0,205,0,0,0,0,4,2008,2,1,2,3,0,1,1,0,3,1,5.5,2,4,2,2,4,3,0,2,0,-0.320996055,221.75,77,2.166666667
10,0,0,0,0,0,2,0,8,3,1,1,3,0,1,1,1,2,0,0,0,0,0,11.6784399,117999.9996,0,0,5,6,1950,190,50,7420,851,0,140,991,1077,0,0,1077,1,0,2,2,5,1939,205,0,4,0,0,0,0,0,1,2008,2,1,2,3,0,4,1,0.858728557,4,1,7,2,4,3.5,2,7,3,0,2,0,-0.403231732,215.4,69,2
