ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,PAY_AMT1,BILL_AMT2,PAY_AMT2,BILL_AMT3,PAY_AMT3,BILL_AMT4,PAY_AMT4,BILL_AMT5,PAY_AMT5,BILL_AMT6,PAY_AMT6,default.payment.next.month
1,20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,0,3102,689,689,0,0,0,0,0,0,0,1
2,120000,2,2,2,26,-1,2,0,0,0,2,2682,0,1725,1000,2682,1000,3272,1000,3455,0,3261,2000,1
3,90000,2,2,2,34,0,0,0,0,0,0,29239,1518,14027,1500,13559,1000,14331,1000,14948,1000,15549,5000,0
4,50000,2,2,1,37,0,0,0,0,0,0,46990,2000,48233,2019,49291,1200,28314,1100,28959,1069,29547,1000,0
5,50000,1,2,1,57,-1,0,-1,0,0,0,8617,2000,5670,36681,35835,10000,20940,9000,19146,689,19131,679,0
6,50000,1,1,2,37,0,0,0,0,0,0,64400,2500,57069,1815,57608,657,19394,1000,19619,1000,20024,800,0
7,5.00E+05,1,1,2,29,0,0,0,0,0,0,367965,55000,412023,40000,445007,38000,542653,20239,483003,13750,473944,13770,0
8,1.00E+05,2,2,2,23,0,-1,-1,0,0,-1,11876,380,380,601,601,0,221,581,-159,1687,567,1542,0
9,140000,2,3,1,28,0,0,2,0,0,0,11285,3329,14096,0,12108,432,12211,1000,11793,1000,3719,1000,0
10,20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,0,0,0,13007,13007,1122,13912,0,0
11,2.00E+05,2,3,2,34,0,0,2,0,0,-1,11073,2306,9787,12,5535,50,2513,300,1828,3738,3731,66,0
12,260000,2,1,2,51,-1,-1,-1,-1,-1,2,12261,21818,21670,9966,9966,8583,8517,22301,22287,0,13668,3640,0
13,630000,2,2,2,41,-1,0,-1,-1,-1,-1,12137,1000,6500,6500,6500,6500,6500,6500,6500,2870,2870,0,0
14,70000,1,2,2,30,1,2,2,0,0,2,65802,3200,67369,0,65701,3000,66782,3000,36137,1500,36894,0,1
15,250000,1,1,2,29,0,0,0,0,0,0,70887,3000,67060,3000,63561,3000,59696,3000,56875,3000,55512,3000,0
16,50000,2,3,3,23,1,2,0,0,0,0,50614,0,29173,1500,28116,1100,28771,1200,29531,1300,30211,1100,0
17,20000,1,1,2,24,0,0,2,2,2,2,15376,3200,18010,0,17428,1500,18338,0,17905,1650,19104,0,1
18,320000,1,1,1,49,0,0,0,-1,-1,-1,253286,10358,246536,10000,194663,75940,70074,20000,5856,195599,195599,50000,0
19,360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,130000,2,3,2,39,0,0,0,0,0,-1,38358,3000,27688,1537,24489,1000,20616,2000,11802,930,930,33764,0
22,120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,316,316,0,0,632,632,316,316,0,1
23,70000,2,2,2,26,2,0,0,2,2,2,41087,2007,42445,3582,45020,0,44006,3601,46905,0,46012,1820,1
24,450000,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,19428,19420,1473,1473,560,560,0,0,0,0,1128,1
25,90000,1,1,2,23,0,0,0,-1,0,0,4744,5757,7070,0,0,5398,5398,1200,6360,2045,8292,2000,0
26,50000,1,3,2,23,0,0,0,0,0,0,47620,1973,41810,1426,36023,1001,28967,1432,29829,1062,30046,997,0
27,60000,1,1,2,27,1,-2,-1,-1,-1,-1,-109,0,-425,1000,259,0,-57,500,127,0,-189,1000,1
28,50000,2,3,2,30,0,0,0,0,0,0,22541,1300,16138,1300,17163,1000,17878,1500,18931,1000,19617,1012,0
29,50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3415,3421,3416,2044,2040,30430,30430,257,257,0,0
30,50000,1,1,2,26,0,0,0,0,0,0,15329,1500,16575,1500,17496,1000,17907,1000,18375,1600,11400,0,0
31,230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17270,17265,13281,13266,15339,15339,14307,14307,37292,36923,0,0
32,50000,1,2,2,33,2,0,0,0,0,0,30518,1718,29618,1500,22102,1000,22734,1000,23217,1000,23680,716,1
33,1.00E+05,1,1,2,32,0,0,0,0,0,0,93036,3023,84071,3511,82880,3302,80958,3204,78703,3200,75589,2504,0
34,5.00E+05,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,4152,4152,22827,22722,7521,7521,71439,71439,981,8981,51582,0
35,5.00E+05,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,5006,5006,31178,31130,3180,3180,0,0,5293,5293,768,0
36,160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,131,-131,396,-527,396,-923,565,-1488,792,-1884,0,0
37,280000,1,2,1,40,0,0,0,0,0,0,186503,8026,181328,8060,180422,6300,170410,6400,173901,6400,177413,6737,0
38,60000,2,2,2,22,0,0,0,0,0,-1,15054,1500,9806,1518,11068,2043,6026,0,-28335,47671,18660,617,0
39,50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,780,0,0,0,0,0,0,0,0,0,1
40,280000,1,1,2,31,-1,-1,2,-1,0,-1,498,9075,9075,0,4641,9976,9976,8000,17976,9525,9477,781,0
41,360000,1,1,2,33,0,0,0,0,0,0,218668,10000,221296,7000,206895,6000,628699,188840,195969,28000,179224,4000,0
42,70000,2,1,2,25,0,0,0,0,0,0,67521,3000,66999,4500,63949,4042,63699,2500,64718,2800,65970,2500,0
43,10000,1,2,2,22,0,0,0,0,0,0,1877,1500,3184,2927,6003,1000,3576,300,3670,1000,4451,500,0
44,140000,2,2,1,37,0,0,0,0,0,0,59504,3000,61544,3000,62925,3000,64280,4000,67079,4000,69802,3000,0
45,40000,2,1,2,30,0,0,0,2,0,0,18927,3000,21295,5000,25921,0,25209,2000,26636,3000,29197,0,0
46,210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
47,20000,2,1,2,22,0,0,2,-1,0,0,14028,3000,16484,0,15800,16741,16341,334,16675,0,0,0,1
48,150000,2,5,2,46,0,0,-1,0,0,-2,4463,1013,3034,1170,1170,0,1170,0,0,0,0,0,1
49,380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,21540,15138,15134,24677,32018,11851,11849,11875,11873,8251,0
50,20000,1,1,2,24,0,0,0,0,0,0,17447,1318,18479,1315,19476,704,19865,928,20480,912,20063,1069,0
51,70000,1,3,2,42,1,2,2,2,2,0,37042,0,36171,3100,38355,2000,39423,0,38659,1500,39362,1500,1
52,1.00E+05,2,3,3,43,0,0,0,0,0,0,61559,2000,51163,1606,43824,1500,39619,2000,35762,1500,33258,1000,0
53,310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7875,7867,7600,7600,11185,11185,3544,3544,464,464,0,0
54,180000,2,1,2,25,1,2,0,0,0,0,41402,1300,41742,2010,42758,1762,43510,1762,44420,1790,45319,1622,0
55,150000,2,1,2,29,2,0,0,0,0,0,46224,1600,34993,1718,31434,1049,26518,1500,21042,2000,16540,5000,0
56,5.00E+05,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,3640,162,162,0,0,151,151,2530,2530,0,0
57,180000,2,3,1,34,0,0,0,-1,-1,-1,16386,8500,15793,1500,8441,7500,7142,679,-679,9000,8321,2000,0
58,180000,2,2,1,34,0,0,0,0,0,0,175886,8083,173440,7296,172308,5253,168608,4814,132202,4816,129918,3800,0
59,2.00E+05,2,1,2,34,-1,3,2,2,2,2,1587,0,1098,0,782,700,1166,0,700,1200,1414,0,0
60,4.00E+05,2,2,1,29,0,0,0,0,0,0,400134,17000,398857,15029,404205,30000,360199,12000,356656,12000,364089,23000,0
61,5.00E+05,2,3,1,28,0,0,0,0,0,0,22848,1516,23638,1300,18878,1000,14937,1000,13827,2000,15571,2000,1
62,70000,1,2,1,39,0,0,0,0,0,-1,70800,4025,72060,2095,69938,1000,16518,2000,14096,3000,830,0,0
63,50000,1,1,2,29,2,2,2,2,2,2,24987,0,24300,2700,26591,0,25865,2225,27667,1200,28264,0,1
64,50000,2,2,1,46,0,0,0,-2,-2,-2,28718,1000,29166,0,0,0,0,0,0,0,0,0,1
65,130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,0,0,0,2353,2353,0,0,0,0
66,2.00E+05,1,1,1,57,-2,-2,-2,-1,2,2,152519,0,148751,0,144076,8222,8174,300,8198,0,7918,1000,1
67,10000,1,2,1,56,2,2,2,0,0,0,2097,2300,4193,0,3978,150,4062,200,4196,200,4326,160,1
68,210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,300,300,1159,1159,2280,2280,300,300,4250,4250,909,0
